model,brand,price,rating,ratings_count,reviews_count,ram,rom,battery,display_inch,rear_camera,front_camera,processor
"vivo V60e (Elite Purple, 256 GB)",vivo,35999.0,4.5,180.0,74.0,12,256,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Tecno Pova 7 Pro 5G (Neon Cyan, 256 GB)",Tecno,19374.0,4.4,614.0,470.0,8,256,6000,6.78,64MP + 8MP,13MP,Dimensity 7300 Ultimate Processor
"vivo V60e (Noble Gold, 128 GB)",vivo,31999.0,4.4,238.0,194.0,8,128,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Samsung Galaxy S26 Ultra 5G (Cobalt Violet, 256 GB)",Samsung,139999.0,4.5,189.0,19.0,12,256,5000,6.9,200MP + 50MP,12MP,Snapdragon 8 Elite Gen 5 Processor
"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)",Samsung,129999.0,4.7,396.0,26.0,12,256,5000,6.9,200MP + 50MP + 50MP + 10MP,12MP,8 Elite for Galaxy Processor
"realme C63 5G Charger in the Box (Forest Green, 128 GB)",realme,10999.0,4.5,87.0,740.0,6,128,5000,6.67,32MP,8MP,Dimensity 6300 Processor
"realme 14 Pro Lite 5G (Glass Purple, 256 GB)",realme,23999.0,4.3,934.0,53.0,8,256,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme 14 Pro Lite 5G (Glass Gold, 128 GB)",realme,21999.0,4.3,934.0,53.0,8,128,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,29999.0,4.4,63.0,487.0,8,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"Samsung Galaxy A36 5G (Awesome Black, 128 GB)",Samsung,32499.0,4.4,37.0,162.0,8,128,5000,6.7,50MP + 8MP,12MP,Qualcomm Snapdragon 6 Gen 3 Processor
"POCO M2 Pro (Green and Greener, 128 GB)",POCO,16999.0,4.4,155.0,930.0,6,128,5000,6.67,48MP + 8MP + 5MP + 2MP,16MP,Qualcomm Snapdragon 720G Processor
"POCO M8 (Frost Silver, 128 GB)",POCO,18999.0,4.5,128.0,99.0,8,128,5520,6.77,50MP,20MP,0
"Google Pixel 10 (Frost, 256 GB)",Google,79999.0,4.5,56.0,126.0,12,256,4970,6.3,48MP + 13MP + 10.8MP,10.5MP,Tensor G5 Processor
"vivo T3 Pro 5G (Emerald Green, 128 GB)",vivo,22999.0,4.5,246.0,650.0,8,128,5500,6.77,50MP + 8MP,16MP,Snapdragon 7 Gen 3 Processor
"Motorola g45 5G (Viva Magenta, 128 GB)",Motorola,10999.0,4.3,579.0,76.0,4,128,5000,6.5,50MP + 2MP,16MP,Snapdragon 6s Gen 3 Processor
Kechaoda K-9,Kechaoda,1326.0,4,804.0,153.0,64,64,2000,2.2,0.3MP,0,0
"POCO X3 Pro (Steel Blue, 128 GB)",POCO,20999.0,4.3,401.0,332.0,8,128,5160,6.67,48MP + 8MP + 2MP + 2MP,20MP,Qualcomm Snapdragon 860 Processor
Kechaoda A26,Kechaoda,899.0,4,724.0,654.0,32,32,800,0.66,0MP,0MP,NA Processor
"REDMI 13 5G (Orchid Pink, 128 GB)",REDMI,12499.0,4.3,391.0,417.0,6,128,5030,6.79,108MP + 2MP,13MP,4 Gen 2 AE Processor
"realme 15 Pro 5G (Velvet Green, 128 GB)",realme,30999.0,4.3,363.0,813.0,8,128,7000,6.8,50MP + 50MP,50MP,Snapdragon 7 Gen 4 Processor
"realme 15 Pro 5G (Velvet Green, 256 GB)",realme,32999.0,4.3,363.0,813.0,8,256,7000,6.8,50MP + 50MP,50MP,Snapdragon 7 Gen 4 Processor
"realme C83 5G (Sprouting Green, 128 GB)",realme,14999.0,4.4,70.0,13.0,4,128,7000,6.8,13MP,5MP,Dimensity 6300 Processor
"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Enchanted Purple, 128 GB)",Infinix,13499.0,4.3,32.0,486.0,6,128,5500,6.67,50MP + AI Lens,8MP,Dimensity 7300 Ultimate Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,32999.0,4.4,287.0,361.0,12,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"vivo V60e (Elite Purple, 256 GB)",vivo,35999.0,4.5,180.0,74.0,12,256,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Tecno Pova 7 Pro 5G (Neon Cyan, 256 GB)",Tecno,19374.0,4.4,614.0,470.0,8,256,6000,6.78,64MP + 8MP,13MP,Dimensity 7300 Ultimate Processor
"vivo V60e (Noble Gold, 128 GB)",vivo,31999.0,4.4,238.0,194.0,8,128,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Samsung Galaxy S26 Ultra 5G (Cobalt Violet, 256 GB)",Samsung,139999.0,4.5,189.0,19.0,12,256,5000,6.9,200MP + 50MP,12MP,Snapdragon 8 Elite Gen 5 Processor
"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)",Samsung,129999.0,4.7,396.0,26.0,12,256,5000,6.9,200MP + 50MP + 50MP + 10MP,12MP,8 Elite for Galaxy Processor
"realme C63 5G Charger in the Box (Forest Green, 128 GB)",realme,10999.0,4.5,87.0,740.0,6,128,5000,6.67,32MP,8MP,Dimensity 6300 Processor
"realme 14 Pro Lite 5G (Glass Purple, 256 GB)",realme,23999.0,4.3,934.0,53.0,8,256,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme 14 Pro Lite 5G (Glass Gold, 128 GB)",realme,21999.0,4.3,934.0,53.0,8,128,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,29999.0,4.4,63.0,487.0,8,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"Samsung Galaxy A36 5G (Awesome Black, 128 GB)",Samsung,32499.0,4.4,37.0,162.0,8,128,5000,6.7,50MP + 8MP,12MP,Qualcomm Snapdragon 6 Gen 3 Processor
"POCO M2 Pro (Green and Greener, 128 GB)",POCO,16999.0,4.4,155.0,930.0,6,128,5000,6.67,48MP + 8MP + 5MP + 2MP,16MP,Qualcomm Snapdragon 720G Processor
"POCO M8 (Frost Silver, 128 GB)",POCO,18999.0,4.5,128.0,99.0,8,128,5520,6.77,50MP,20MP,0
"Google Pixel 10 (Frost, 256 GB)",Google,79999.0,4.5,56.0,126.0,12,256,4970,6.3,48MP + 13MP + 10.8MP,10.5MP,Tensor G5 Processor
"vivo T3 Pro 5G (Emerald Green, 128 GB)",vivo,22999.0,4.5,246.0,650.0,8,128,5500,6.77,50MP + 8MP,16MP,Snapdragon 7 Gen 3 Processor
"Motorola g45 5G (Viva Magenta, 128 GB)",Motorola,10999.0,4.3,579.0,76.0,4,128,5000,6.5,50MP + 2MP,16MP,Snapdragon 6s Gen 3 Processor
Kechaoda K-9,Kechaoda,1326.0,4,804.0,153.0,64,64,2000,2.2,0.3MP,0,0
"POCO X3 Pro (Steel Blue, 128 GB)",POCO,20999.0,4.3,401.0,332.0,8,128,5160,6.67,48MP + 8MP + 2MP + 2MP,20MP,Qualcomm Snapdragon 860 Processor
Kechaoda A26,Kechaoda,899.0,4,724.0,654.0,32,32,800,0.66,0MP,0MP,NA Processor
"REDMI 13 5G (Orchid Pink, 128 GB)",REDMI,12499.0,4.3,391.0,417.0,6,128,5030,6.79,108MP + 2MP,13MP,4 Gen 2 AE Processor
"realme 15 Pro 5G (Velvet Green, 128 GB)",realme,30999.0,4.3,363.0,813.0,8,128,7000,6.8,50MP + 50MP,50MP,Snapdragon 7 Gen 4 Processor
"realme 15 Pro 5G (Velvet Green, 256 GB)",realme,32999.0,4.3,363.0,813.0,8,256,7000,6.8,50MP + 50MP,50MP,Snapdragon 7 Gen 4 Processor
"realme C83 5G (Sprouting Green, 128 GB)",realme,14999.0,4.4,70.0,13.0,4,128,7000,6.8,13MP,5MP,Dimensity 6300 Processor
"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Enchanted Purple, 128 GB)",Infinix,13499.0,4.3,32.0,486.0,6,128,5500,6.67,50MP + AI Lens,8MP,Dimensity 7300 Ultimate Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,32999.0,4.4,287.0,361.0,12,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"vivo V60e (Elite Purple, 256 GB)",vivo,35999.0,4.5,180.0,74.0,12,256,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Tecno Pova 7 Pro 5G (Neon Cyan, 256 GB)",Tecno,19374.0,4.4,614.0,470.0,8,256,6000,6.78,64MP + 8MP,13MP,Dimensity 7300 Ultimate Processor
"vivo V60e (Noble Gold, 128 GB)",vivo,31999.0,4.4,238.0,194.0,8,128,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Samsung Galaxy S26 Ultra 5G (Cobalt Violet, 256 GB)",Samsung,139999.0,4.5,189.0,19.0,12,256,5000,6.9,200MP + 50MP,12MP,Snapdragon 8 Elite Gen 5 Processor
"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)",Samsung,129999.0,4.7,396.0,26.0,12,256,5000,6.9,200MP + 50MP + 50MP + 10MP,12MP,8 Elite for Galaxy Processor
"realme C63 5G Charger in the Box (Forest Green, 128 GB)",realme,10999.0,4.5,87.0,740.0,6,128,5000,6.67,32MP,8MP,Dimensity 6300 Processor
"realme 14 Pro Lite 5G (Glass Purple, 256 GB)",realme,23999.0,4.3,934.0,53.0,8,256,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme 14 Pro Lite 5G (Glass Gold, 128 GB)",realme,21999.0,4.3,934.0,53.0,8,128,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,29999.0,4.4,63.0,487.0,8,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"Samsung Galaxy A36 5G (Awesome Black, 128 GB)",Samsung,32499.0,4.4,37.0,162.0,8,128,5000,6.7,50MP + 8MP,12MP,Qualcomm Snapdragon 6 Gen 3 Processor
"POCO M2 Pro (Green and Greener, 128 GB)",POCO,16999.0,4.4,155.0,930.0,6,128,5000,6.67,48MP + 8MP + 5MP + 2MP,16MP,Qualcomm Snapdragon 720G Processor
"POCO M8 (Frost Silver, 128 GB)",POCO,18999.0,4.5,128.0,99.0,8,128,5520,6.77,50MP,20MP,0
"Google Pixel 10 (Frost, 256 GB)",Google,79999.0,4.5,56.0,126.0,12,256,4970,6.3,48MP + 13MP + 10.8MP,10.5MP,Tensor G5 Processor
"vivo T3 Pro 5G (Emerald Green, 128 GB)",vivo,22999.0,4.5,246.0,650.0,8,128,5500,6.77,50MP + 8MP,16MP,Snapdragon 7 Gen 3 Processor
"Motorola g45 5G (Viva Magenta, 128 GB)",Motorola,10999.0,4.3,579.0,76.0,4,128,5000,6.5,50MP + 2MP,16MP,Snapdragon 6s Gen 3 Processor
Kechaoda K-9,Kechaoda,1326.0,4,804.0,153.0,64,64,2000,2.2,0.3MP,0,0
"POCO X3 Pro (Steel Blue, 128 GB)",POCO,20999.0,4.3,401.0,332.0,8,128,5160,6.67,48MP + 8MP + 2MP + 2MP,20MP,Qualcomm Snapdragon 860 Processor
Kechaoda A26,Kechaoda,899.0,4,724.0,654.0,32,32,800,0.66,0MP,0MP,NA Processor
"REDMI 13 5G (Orchid Pink, 128 GB)",REDMI,12499.0,4.3,391.0,417.0,6,128,5030,6.79,108MP + 2MP,13MP,4 Gen 2 AE Processor
"realme 15 Pro 5G (Velvet Green, 128 GB)",realme,30999.0,4.3,363.0,813.0,8,128,7000,6.8,50MP + 50MP,50MP,Snapdragon 7 Gen 4 Processor
"realme 15 Pro 5G (Velvet Green, 256 GB)",realme,32999.0,4.3,363.0,813.0,8,256,7000,6.8,50MP + 50MP,50MP,Snapdragon 7 Gen 4 Processor
"realme C83 5G (Sprouting Green, 128 GB)",realme,14999.0,4.4,70.0,13.0,4,128,7000,6.8,13MP,5MP,Dimensity 6300 Processor
"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Enchanted Purple, 128 GB)",Infinix,13499.0,4.3,32.0,486.0,6,128,5500,6.67,50MP + AI Lens,8MP,Dimensity 7300 Ultimate Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,32999.0,4.4,287.0,361.0,12,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"vivo V60e (Elite Purple, 256 GB)",vivo,35999.0,4.5,180.0,74.0,12,256,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Tecno Pova 7 Pro 5G (Neon Cyan, 256 GB)",Tecno,19374.0,4.4,614.0,470.0,8,256,6000,6.78,64MP + 8MP,13MP,Dimensity 7300 Ultimate Processor
"vivo V60e (Noble Gold, 128 GB)",vivo,31999.0,4.4,238.0,194.0,8,128,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Samsung Galaxy S26 Ultra 5G (Cobalt Violet, 256 GB)",Samsung,139999.0,4.5,189.0,19.0,12,256,5000,6.9,200MP + 50MP,12MP,Snapdragon 8 Elite Gen 5 Processor
"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)",Samsung,129999.0,4.7,396.0,26.0,12,256,5000,6.9,200MP + 50MP + 50MP + 10MP,12MP,8 Elite for Galaxy Processor
"realme C63 5G Charger in the Box (Forest Green, 128 GB)",realme,10999.0,4.5,87.0,740.0,6,128,5000,6.67,32MP,8MP,Dimensity 6300 Processor
"realme 14 Pro Lite 5G (Glass Purple, 256 GB)",realme,23999.0,4.3,934.0,53.0,8,256,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme 14 Pro Lite 5G (Glass Gold, 128 GB)",realme,21999.0,4.3,934.0,53.0,8,128,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,29999.0,4.4,63.0,487.0,8,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"Samsung Galaxy A36 5G (Awesome Black, 128 GB)",Samsung,32499.0,4.4,37.0,162.0,8,128,5000,6.7,50MP + 8MP,12MP,Qualcomm Snapdragon 6 Gen 3 Processor
"POCO M2 Pro (Green and Greener, 128 GB)",POCO,16999.0,4.4,155.0,930.0,6,128,5000,6.67,48MP + 8MP + 5MP + 2MP,16MP,Qualcomm Snapdragon 720G Processor
"POCO M8 (Frost Silver, 128 GB)",POCO,18999.0,4.5,128.0,99.0,8,128,5520,6.77,50MP,20MP,0
"Google Pixel 10 (Frost, 256 GB)",Google,79999.0,4.5,56.0,126.0,12,256,4970,6.3,48MP + 13MP + 10.8MP,10.5MP,Tensor G5 Processor
"vivo T3 Pro 5G (Emerald Green, 128 GB)",vivo,22999.0,4.5,246.0,650.0,8,128,5500,6.77,50MP + 8MP,16MP,Snapdragon 7 Gen 3 Processor
"Motorola g45 5G (Viva Magenta, 128 GB)",Motorola,10999.0,4.3,579.0,76.0,4,128,5000,6.5,50MP + 2MP,16MP,Snapdragon 6s Gen 3 Processor
Kechaoda K-9,Kechaoda,1326.0,4,804.0,153.0,64,64,2000,2.2,0.3MP,0,0
"POCO X3 Pro (Steel Blue, 128 GB)",POCO,20999.0,4.3,401.0,332.0,8,128,5160,6.67,48MP + 8MP + 2MP + 2MP,20MP,Qualcomm Snapdragon 860 Processor
Kechaoda A26,Kechaoda,899.0,4,724.0,654.0,32,32,800,0.66,0MP,0MP,NA Processor
"REDMI 13 5G (Orchid Pink, 128 GB)",REDMI,12499.0,4.3,391.0,417.0,6,128,5030,6.79,108MP + 2MP,13MP,4 Gen 2 AE Processor
"realme 15 Pro 5G (Velvet Green, 128 GB)",realme,30999.0,4.3,363.0,813.0,8,128,7000,6.8,50MP + 50MP,50MP,Snapdragon 7 Gen 4 Processor
"realme 15 Pro 5G (Velvet Green, 256 GB)",realme,32999.0,4.3,363.0,813.0,8,256,7000,6.8,50MP + 50MP,50MP,Snapdragon 7 Gen 4 Processor
"realme C83 5G (Sprouting Green, 128 GB)",realme,14999.0,4.4,70.0,13.0,4,128,7000,6.8,13MP,5MP,Dimensity 6300 Processor
"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Enchanted Purple, 128 GB)",Infinix,13499.0,4.3,32.0,486.0,6,128,5500,6.67,50MP + AI Lens,8MP,Dimensity 7300 Ultimate Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,32999.0,4.4,287.0,361.0,12,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"vivo V60e (Elite Purple, 256 GB)",vivo,35999.0,4.5,180.0,74.0,12,256,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Tecno Pova 7 Pro 5G (Neon Cyan, 256 GB)",Tecno,19374.0,4.4,614.0,470.0,8,256,6000,6.78,64MP + 8MP,13MP,Dimensity 7300 Ultimate Processor
"vivo V60e (Noble Gold, 128 GB)",vivo,31999.0,4.4,238.0,194.0,8,128,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Samsung Galaxy S26 Ultra 5G (Cobalt Violet, 256 GB)",Samsung,139999.0,4.5,189.0,19.0,12,256,5000,6.9,200MP + 50MP,12MP,Snapdragon 8 Elite Gen 5 Processor
"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)",Samsung,129999.0,4.7,396.0,26.0,12,256,5000,6.9,200MP + 50MP + 50MP + 10MP,12MP,8 Elite for Galaxy Processor
"realme C63 5G Charger in the Box (Forest Green, 128 GB)",realme,10999.0,4.5,87.0,740.0,6,128,5000,6.67,32MP,8MP,Dimensity 6300 Processor
"realme 14 Pro Lite 5G (Glass Purple, 256 GB)",realme,23999.0,4.3,934.0,53.0,8,256,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme 14 Pro Lite 5G (Glass Gold, 128 GB)",realme,21999.0,4.3,934.0,53.0,8,128,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,29999.0,4.4,63.0,487.0,8,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"Samsung Galaxy A36 5G (Awesome Black, 128 GB)",Samsung,32499.0,4.4,37.0,162.0,8,128,5000,6.7,50MP + 8MP,12MP,Qualcomm Snapdragon 6 Gen 3 Processor
"POCO M2 Pro (Green and Greener, 128 GB)",POCO,16999.0,4.4,155.0,930.0,6,128,5000,6.67,48MP + 8MP + 5MP + 2MP,16MP,Qualcomm Snapdragon 720G Processor
"POCO M8 (Frost Silver, 128 GB)",POCO,18999.0,4.5,128.0,99.0,8,128,5520,6.77,50MP,20MP,0
"Google Pixel 10 (Frost, 256 GB)",Google,79999.0,4.5,56.0,126.0,12,256,4970,6.3,48MP + 13MP + 10.8MP,10.5MP,Tensor G5 Processor
"vivo T3 Pro 5G (Emerald Green, 128 GB)",vivo,22999.0,4.5,246.0,650.0,8,128,5500,6.77,50MP + 8MP,16MP,Snapdragon 7 Gen 3 Processor
"Motorola g45 5G (Viva Magenta, 128 GB)",Motorola,10999.0,4.3,579.0,76.0,4,128,5000,6.5,50MP + 2MP,16MP,Snapdragon 6s Gen 3 Processor
Kechaoda K-9,Kechaoda,1326.0,4,804.0,153.0,64,64,2000,2.2,0.3MP,0,0
"POCO X3 Pro (Steel Blue, 128 GB)",POCO,20999.0,4.3,401.0,332.0,8,128,5160,6.67,48MP + 8MP + 2MP + 2MP,20MP,Qualcomm Snapdragon 860 Processor
Kechaoda A26,Kechaoda,899.0,4,724.0,654.0,32,32,800,0.66,0MP,0MP,NA Processor
"REDMI 13 5G (Orchid Pink, 128 GB)",REDMI,12499.0,4.3,391.0,417.0,6,128,5030,6.79,108MP + 2MP,13MP,4 Gen 2 AE Processor
"realme 15 Pro 5G (Velvet Green, 128 GB)",realme,30999.0,4.3,363.0,813.0,8,128,7000,6.8,50MP + 50MP,50MP,Snapdragon 7 Gen 4 Processor
"realme 15 Pro 5G (Velvet Green, 256 GB)",realme,32999.0,4.3,363.0,813.0,8,256,7000,6.8,50MP + 50MP,50MP,Snapdragon 7 Gen 4 Processor
"realme C83 5G (Sprouting Green, 128 GB)",realme,14999.0,4.4,70.0,13.0,4,128,7000,6.8,13MP,5MP,Dimensity 6300 Processor
"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Enchanted Purple, 128 GB)",Infinix,13499.0,4.3,32.0,486.0,6,128,5500,6.67,50MP + AI Lens,8MP,Dimensity 7300 Ultimate Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,32999.0,4.4,287.0,361.0,12,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"vivo V60e (Elite Purple, 256 GB)",vivo,35999.0,4.5,180.0,74.0,12,256,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Tecno Pova 7 Pro 5G (Neon Cyan, 256 GB)",Tecno,19374.0,4.4,614.0,470.0,8,256,6000,6.78,64MP + 8MP,13MP,Dimensity 7300 Ultimate Processor
"vivo V60e (Noble Gold, 128 GB)",vivo,31999.0,4.4,238.0,194.0,8,128,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Samsung Galaxy S26 Ultra 5G (Cobalt Violet, 256 GB)",Samsung,139999.0,4.5,189.0,19.0,12,256,5000,6.9,200MP + 50MP,12MP,Snapdragon 8 Elite Gen 5 Processor
"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)",Samsung,129999.0,4.7,396.0,26.0,12,256,5000,6.9,200MP + 50MP + 50MP + 10MP,12MP,8 Elite for Galaxy Processor
"realme C63 5G Charger in the Box (Forest Green, 128 GB)",realme,10999.0,4.5,87.0,740.0,6,128,5000,6.67,32MP,8MP,Dimensity 6300 Processor
"realme 14 Pro Lite 5G (Glass Purple, 256 GB)",realme,23999.0,4.3,934.0,53.0,8,256,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme 14 Pro Lite 5G (Glass Gold, 128 GB)",realme,21999.0,4.3,934.0,53.0,8,128,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,29999.0,4.4,63.0,487.0,8,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"Samsung Galaxy A36 5G (Awesome Black, 128 GB)",Samsung,32499.0,4.4,37.0,162.0,8,128,5000,6.7,50MP + 8MP,12MP,Qualcomm Snapdragon 6 Gen 3 Processor
"POCO M2 Pro (Green and Greener, 128 GB)",POCO,16999.0,4.4,155.0,930.0,6,128,5000,6.67,48MP + 8MP + 5MP + 2MP,16MP,Qualcomm Snapdragon 720G Processor
"POCO M8 (Frost Silver, 128 GB)",POCO,18999.0,4.5,128.0,99.0,8,128,5520,6.77,50MP,20MP,0
"Google Pixel 10 (Frost, 256 GB)",Google,79999.0,4.5,56.0,126.0,12,256,4970,6.3,48MP + 13MP + 10.8MP,10.5MP,Tensor G5 Processor
"vivo T3 Pro 5G (Emerald Green, 128 GB)",vivo,22999.0,4.5,246.0,650.0,8,128,5500,6.77,50MP + 8MP,16MP,Snapdragon 7 Gen 3 Processor
"Motorola g45 5G (Viva Magenta, 128 GB)",Motorola,10999.0,4.3,579.0,76.0,4,128,5000,6.5,50MP + 2MP,16MP,Snapdragon 6s Gen 3 Processor
Kechaoda K-9,Kechaoda,1326.0,4,804.0,153.0,64,64,2000,2.2,0.3MP,0,0
"POCO X3 Pro (Steel Blue, 128 GB)",POCO,20999.0,4.3,401.0,332.0,8,128,5160,6.67,48MP + 8MP + 2MP + 2MP,20MP,Qualcomm Snapdragon 860 Processor
Kechaoda A26,Kechaoda,899.0,4,724.0,654.0,32,32,800,0.66,0MP,0MP,NA Processor
"REDMI 13 5G (Orchid Pink, 128 GB)",REDMI,12499.0,4.3,391.0,417.0,6,128,5030,6.79,108MP + 2MP,13MP,4 Gen 2 AE Processor
"realme 15 Pro 5G (Velvet Green, 128 GB)",realme,30999.0,4.3,363.0,813.0,8,128,7000,6.8,50MP + 50MP,50MP,Snapdragon 7 Gen 4 Processor
"realme 15 Pro 5G (Velvet Green, 256 GB)",realme,32999.0,4.3,363.0,813.0,8,256,7000,6.8,50MP + 50MP,50MP,Snapdragon 7 Gen 4 Processor
"realme C83 5G (Sprouting Green, 128 GB)",realme,14999.0,4.4,70.0,13.0,4,128,7000,6.8,13MP,5MP,Dimensity 6300 Processor
"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Enchanted Purple, 128 GB)",Infinix,13499.0,4.3,32.0,486.0,6,128,5500,6.67,50MP + AI Lens,8MP,Dimensity 7300 Ultimate Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,32999.0,4.4,287.0,361.0,12,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"vivo V60e (Elite Purple, 256 GB)",vivo,35999.0,4.5,180.0,74.0,12,256,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Tecno Pova 7 Pro 5G (Neon Cyan, 256 GB)",Tecno,19374.0,4.4,614.0,470.0,8,256,6000,6.78,64MP + 8MP,13MP,Dimensity 7300 Ultimate Processor
"vivo V60e (Noble Gold, 128 GB)",vivo,31999.0,4.4,238.0,194.0,8,128,6500,6.77,200MP + 8MP,50MP,Dimensity 7360-Turbo Processor
"Samsung Galaxy S26 Ultra 5G (Cobalt Violet, 256 GB)",Samsung,139999.0,4.5,189.0,19.0,12,256,5000,6.9,200MP + 50MP,12MP,Snapdragon 8 Elite Gen 5 Processor
"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)",Samsung,129999.0,4.7,396.0,26.0,12,256,5000,6.9,200MP + 50MP + 50MP + 10MP,12MP,8 Elite for Galaxy Processor
"realme C63 5G Charger in the Box (Forest Green, 128 GB)",realme,10999.0,4.5,87.0,740.0,6,128,5000,6.67,32MP,8MP,Dimensity 6300 Processor
"realme 14 Pro Lite 5G (Glass Purple, 256 GB)",realme,23999.0,4.3,934.0,53.0,8,256,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme 14 Pro Lite 5G (Glass Gold, 128 GB)",realme,21999.0,4.3,934.0,53.0,8,128,5200,6.7,50MP + 8MP + 2MP,32MP,7s Gen2 Processor
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",realme,29999.0,4.4,63.0,487.0,8,256,7000,6.8,50MP + 8MP,50MP,Snapdragon 7 Gen 4 Mobile Processor
"Samsung Galaxy A36 5G (Awesome Black, 128 GB)",Samsung,32499.0,4.4,37.0,162.0,8,128,5000,6.7,50MP + 8MP,12MP,Qualcomm Snapdragon 6 Gen 3 Processor
"POCO M2 Pro (Green and Greener, 128 GB)",POCO,16999.0,4.4,155.0,930.0,6,128,5000,6.67,48MP + 8MP + 5MP + 2MP,16MP,Qualcomm Snapdragon 720G Processor
"POCO M8 (Frost Silver, 128 GB)",POCO,18999.0,4.5,128.0,99.0,8,128,5520,6.77,50MP,20MP,0
"Google Pixel 10 (Frost, 256 GB)",Google,79999.0,4.5,56.0,126.0,12,256,4970,6.3,48MP + 13MP + 10.8MP,10.5MP,Tensor G5 Processor
